;dataset;featureset;imputation;dim_reduction;init_train_len;test_len;split_perc;kernel;alpha;n_restarts_optimizer;standardize;normalize_y;one_step_ahead;optimized_kernel;RMSE_Train_RW;RMSE_Test_RW;RMSE_Train_seasRW;RMSE_Test_seasRW;RMSE_Train_HA;RMSE_Test_HA;RMSE_Train;RMSE_Test;shuf_cv_rmse_mean;shuf_cv_rmse_std;shuf_cv_rmse_0;shuf_cv_rmse_1;shuf_cv_rmse_2;shuf_cv_rmse_3;shuf_cv_rmse_4
459;GeneralCashierData_weekly;full;mean;None;;;0,8;31.6**2 * Matern(length_scale=1, nu=1.5) + ExpSineSquared(length_scale=1, periodicity=52);1,00E-05;10;True;True;False;1.07**2 * Matern(length_scale=9.5, nu=1.5) + ExpSineSquared(length_scale=1.59, periodicity=62);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,0258372919;1295,6703291989;446,7355668042;35,8329018629;413,3743305871;489,053077325;403,2807717988;442,4097997154;485,5598545949
374;GeneralCashierData_weekly;full;mean;None;;;0,8;Matern(length_scale=1, nu=1.5) + RBF(length_scale=1) * RationalQuadratic(alpha=1, length_scale=1);0,001;5;True;True;False;Matern(length_scale=8.88, nu=1.5) + RBF(length_scale=15.3) * RationalQuadratic(alpha=1.61e-05, length_scale=5e+04);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;2,5493279658;1279,4376363226;446,7091470037;38,8094152996;410,2589131032;489,5359978224;399,4205262377;442,4539700214;491,8763278338
628;GeneralCashierData_weekly;full;mean;None;;;0,8;31.6**2 + Matern(length_scale=1, nu=1.5) + ExpSineSquared(length_scale=1, periodicity=52);0,001;0;True;True;False;0.00507**2 + Matern(length_scale=8.64, nu=1.5) + ExpSineSquared(length_scale=1e+05, periodicity=61.8);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;2,5417090881;1351,4313567121;446,7043734883;37,3100269148;410,7687492023;489,3172397768;401,8722433689;442,1688185722;489,3948165211
391;GeneralCashierData_weekly;full;mean;None;;;0,8;Matern(length_scale=1, nu=1.5) + RationalQuadratic(alpha=1, length_scale=1);1,00E-05;10;True;True;False;Matern(length_scale=8.84, nu=1.5) + RationalQuadratic(alpha=1e+05, length_scale=15.3);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,0255431976;1279,8204798243;446,8713088784;38,9653870923;410,178979602;490,7846065819;399,3216611892;442,1094370799;491,961859939
832;GeneralCashierData_weekly;full;mean;None;;;0,8;Matern(length_scale=1, nu=1.5) * RBF(length_scale=1) + ExpSineSquared(length_scale=1, periodicity=52);1,00E-05;5;True;True;False;Matern(length_scale=72.9, nu=1.5) * RBF(length_scale=963) + ExpSineSquared(length_scale=0.579, periodicity=61.9);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,0303119462;1422,2853111642;446,9913494463;37,2915562631;410,8227662396;489,1667634753;401,7721822618;443,6541946272;489,5408406275
115;GeneralCashierData_weekly;full;mean;None;;;0,8;Matern(length_scale=1, nu=1.5) + ExpSineSquared(length_scale=1, periodicity=52) + RBF(length_scale=1);0,001;10;True;True;False;Matern(length_scale=8.64, nu=1.5) + ExpSineSquared(length_scale=120, periodicity=41.3) + RBF(length_scale=5e+04);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;2,5426006208;1346,945687011;447,5463244961;37,7222992364;407,7819678167;486,0942324735;405,3560046541;443,5046397187;494,9947778178
424;GeneralCashierData_weekly;full;mean;None;;;0,8;ExpSineSquared(length_scale=1, periodicity=52) + RBF(length_scale=1);0,001;5;True;True;False;ExpSineSquared(length_scale=0.892, periodicity=41) + RBF(length_scale=15.7);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;2,8693413027;1324,7013757317;447,665613044;36,060307114;414,8609637888;480,9103824143;403,2312012768;443,4120136954;495,9135040447
140;GeneralCashierData_weekly;full;mean;None;;;0,8;31.6**2 + ExpSineSquared(length_scale=1, periodicity=52) + RBF(length_scale=1);0,001;10;True;True;False;0.00316**2 + ExpSineSquared(length_scale=1.52, periodicity=62) + RBF(length_scale=5.69);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;2,9526896903;1381,6171225469;449,2401717037;34,210059796;414,8569784382;480,9103273118;411,1077701547;443,412336827;495,9134457865
561;GeneralCashierData_weekly;full;mean;None;;;0,8;Matern(length_scale=1, nu=1.5) + ExpSineSquared(length_scale=1, periodicity=52) + RBF(length_scale=1);1,00E-05;0;True;True;False;Matern(length_scale=8.86, nu=1.5) + ExpSineSquared(length_scale=2.3, periodicity=62) + RBF(length_scale=18.3);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,0255593158;1255,1518217304;449,2436453699;34,2115937305;420,0190233757;485,8959608138;405,8656386915;443,4824269897;490,9551769791
514;GeneralCashierData_weekly;full;mean;None;;;0,8;ExpSineSquared(length_scale=1, periodicity=52) + RationalQuadratic(alpha=1, length_scale=1);1,00E-05;10;True;True;False;ExpSineSquared(length_scale=1.12, periodicity=62) + RationalQuadratic(alpha=0.305, length_scale=6.13);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,025139974;1297,0219681226;449,8469739636;41,7826201799;412,1224769676;497,207534755;398,2371159789;443,2812013789;498,3865407375
